dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
SPY,0.4296296296296297,0.018144368465060578,0.014816074701957404,0.0010100790968863294
ACSF1,0.11300000000000002,0.011000000000000001,0.11973415850079619,0.03435325429891236
AllGestureWiimoteX,0.2274285714285714,0.01182870945399111,0.45029949180170664,0.08810962909774389
AllGestureWiimoteY,0.17657142857142855,0.01289201619734683,0.4077630333980778,0.07835562910186127
AllGestureWiimoteZ,0.1551428571428571,0.007984679207132644,0.40964967500185595,0.07534294159704587
BME,0.40066666666666667,0.008666666666666673,0.016117362401564604,0.005968454200774432
Chinatown,0.27405247813411077,0.0,0.008646545701776632,0.004556975098967087
Crop,0.05856547619047618,0.010253983035089351,33.42435971239756,0.84810035849805
DodgerLoopDay,0.26875,0.01152443057161612,0.033431799999380014,0.006211245800659526
DodgerLoopGame,0.5253623188405798,0.02342497083368784,0.028320191499369686,0.010412491697934456
DodgerLoopWeekend,0.9,0.007804586677006539,0.027366728999186306,0.009713783499319105
EOGHorizontalSignal,0.09640883977900552,0.009917858050285213,0.19712990000116407,0.0937430376012344
EOGVerticalSignal,0.07458563535911603,0.0024707933453036336,0.19815715409931725,0.09480166269931943
EthanolLevel,0.2484,0.0026532998322843226,0.3238675375978346,0.17764187500142725
FreezerRegularTrain,0.7848421052631578,0.13400153892622005,0.040934341600222975,0.1827413583989255
FreezerSmallTrain,0.5010526315789473,1.1102230246251565e-16,0.027983500000846106,0.17808108330209507
Fungi,0.10161290322580645,0.007772490481075788,0.018638408300466834,0.010511099897848908
GestureMidAirD1,0.17846153846153848,0.008284868934053084,0.1560824917993159,0.012242283301020507
GestureMidAirD2,0.12615384615384614,0.006153846153846154,0.15996039570163703,0.012245341599918903
GestureMidAirD3,0.09923076923076923,0.006389710663783134,0.15574233320221537,0.012109295900154393
GesturePebbleZ1,0.21686046511627904,0.022374280703364953,0.17295853750256354,0.018998112599365412
GesturePebbleZ2,0.30063291139240506,0.017505464159416877,0.1911908791997121,0.01706836259982083
GunPointAgeSpan,0.5069620253164557,0.0012658227848101331,0.023723670703475364,0.01312767919880571
GunPointMaleVersusFemale,0.6110759493670886,0.007278481012658233,0.023747000198636667,0.013018520698824431
GunPointOldVersusYoung,0.5238095238095238,0.0,0.02377813770144712,0.012946441696840338
HouseTwenty,0.6252100840336133,0.013126470043540592,0.1483887998998398,0.05003610019921326
InsectEPGRegularTrain,0.3040160642570281,0.04056224899598394,0.05272247499960941,0.0358180873983656
InsectEPGSmallTrain,0.24497991967871488,0.022575854333422005,0.046029433397052344,0.03362073760217754
MelbournePedestrian,0.25157851578515783,0.015353216549036094,0.2561290166020626,0.03603478320001159
MixedShapesRegularTrain,0.18,0.01618917813810606,0.20313773350208064,0.4843850332996226
MixedShapesSmallTrain,0.17868041237113402,0.002404869824630652,0.08925277899979847,0.4752112042013323
PLAID,0.43240223463687144,0.050580517307605086,2.1079478790954456,0.14261376680224203
PickupGestureWiimoteZ,0.25,0.01612451549659711,0.1499196585005848,0.0048575749984593125
PigAirwayPressure,0.04807692307692308,0.0,0.17292229170125212,0.08582970409770496
PigArtPressure,0.01826923076923077,0.0028846153846153848,0.1630493333999766,0.0831039125987445
PigCVP,0.01923076923076923,3.469446951953614e-18,0.17231801259913482,0.08963602900184924
PowerCons,0.6483333333333334,0.005000000000000004,0.028112583397887646,0.007086416601669043
Rock,0.18,0.0,0.17971821239771088,0.03304095839848742
SemgHandGenderCh2,0.6074999999999999,0.052500000000000005,0.20972800829767949,0.19513858750433427
SemgHandMovementCh2,0.3613333333333334,0.011598211867288788,0.26493507910054176,0.1368137041994487
SemgHandSubjectCh2,0.3288888888888889,0.0341384255460827,0.2623775042971829,0.1350222917011706
ShakeGestureWiimoteZ,0.2760000000000001,0.039799497484264805,0.1517025335007929,0.00523443340061931
SmoothSubspace,0.5473333333333334,0.018487232831816063,0.014251291699474679,0.0024856540971086357
UMD,0.65,0.01527777777777776,0.017025850000209175,0.0065689833994838406
