dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
ACSF1,0.905,0.0050000000000000044,0.11612689162138849,0.03190820426680148
AllGestureWiimoteX,0.7244285714285714,0.009823960712545264,0.3974725291831419,0.08243109586182983
AllGestureWiimoteY,0.7397142857142857,0.008614179103817924,0.3759668542072177,0.07313172521535308
AllGestureWiimoteZ,0.7308571428571428,0.010085350054127293,0.382819487596862,0.07316357898525894
BME,0.9866666666666667,0.0,0.015148329199291766,0.005690262629650533
Chinatown,0.9830903790087462,0.0017492711370262317,0.008435554197058081,0.004450583271682263
Crop,0.7601369047619048,0.001150843252899276,32.34235007511452,0.45183635838329794
DodgerLoopDay,0.6525000000000001,0.013462912017836287,0.03138189159799367,0.006037412281148136
DodgerLoopGame,0.8702898550724638,0.0039022933385032582,0.026966912392526864,0.009845929313451051
DodgerLoopWeekend,0.9782608695652174,0.0,0.026522612432017922,0.0097346625989303
EOGHorizontalSignal,0.589779005524862,0.017569147642163347,0.1770453208591789,0.09157994173001499
EOGVerticalSignal,0.53646408839779,0.006629834254143635,0.17621372502762822,0.09062057479750366
EthanolLevel,0.5626,0.009593747964169128,0.28469448327086866,0.16963051250204444
FreezerRegularTrain,0.9994035087719298,0.00016079212964756364,0.037623225199058655,0.17616606259252876
FreezerSmallTrain,0.9408771929824562,0.0016625063495413575,0.02465640022419393,0.17232948318123817
Fungi,0.9612903225806452,0.0046869881113340535,0.01771879568696022,0.01045747499447316
GestureMidAirD1,0.7546153846153846,0.009389658165948986,0.14991667894646524,0.011995374993421138
GestureMidAirD2,0.6669230769230771,0.010905728368275247,0.14988808322232217,0.011827554204501212
GestureMidAirD3,0.5307692307692308,0.013760418323075624,0.15160689183976503,0.011938191577792167
GesturePebbleZ1,0.9284883720930232,0.004540842834829458,0.18165844187606128,0.018811516650021076
GesturePebbleZ2,0.870253164556962,0.01175580735506754,0.1989280958427116,0.01691501245368272
GunPointAgeSpan,0.9927215189873417,0.0028481012658227787,0.0228042459115386,0.012931629130616785
GunPointMaleVersusFemale,1.0,0.0,0.022830270929262042,0.012938824971206487
GunPointOldVersusYoung,1.0,0.0,0.022841400024481116,0.012927662418223919
HouseTwenty,0.9571428571428571,0.005882352941176493,0.12415490420535208,0.04881509989500046
InsectEPGRegularTrain,1.0,0.0,0.046387879201211034,0.032750350027345124
InsectEPGSmallTrain,0.9987951807228915,0.001840391845363814,0.03953598744701594,0.03223986672237516
MelbournePedestrian,0.9567855678556786,0.00201027481297767,0.25785106676630676,0.03557996666058898
MixedShapesRegularTrain,0.9686597938144331,0.0015429514997006009,0.1866834292188287,0.4655187124852091
MixedShapesSmallTrain,0.9453195876288658,0.0031524148212150843,0.0757399622350931,0.4644384000683203
PLAID,0.9279329608938547,0.005832573468665114,2.2692693583667274,0.1423642664216459
PickupGestureWiimoteZ,0.8560000000000001,0.01200000000000001,0.15726603756193075,0.004792570997960865
PigAirwayPressure,0.21634615384615383,0.009615384615384618,0.14101326670497655,0.08505464175250381
PigArtPressure,0.9701923076923077,0.004710557197659941,0.13854077083524316,0.08302702503278853
PigCVP,0.7764423076923077,0.04109100612084924,0.1454407083103433,0.08436203750316054
PowerCons,0.9938888888888888,0.003888888888888875,0.02691524180117994,0.006991716637276113
Rock,0.784,0.019595917942265423,0.13747332899365575,0.030524250003509223
SemgHandGenderCh2,0.8893333333333333,0.007118052168020866,0.1978466915898025,0.1691714874934405
SemgHandMovementCh2,0.6713333333333333,0.014519463310150797,0.25723207916598767,0.13063445820007472
SemgHandSubjectCh2,0.8697777777777776,0.008731947868617121,0.2565880917245522,0.1327975792111829
ShakeGestureWiimoteZ,0.8720000000000001,0.013266499161421611,0.1568847793387249,0.005094275018200278
SmoothSubspace,0.9373333333333334,0.007999999999999983,0.014261945732869208,0.0023069251095876094
UMD,0.9868055555555555,0.002083333333333326,0.016163066308945418,0.006400237767957151
