dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
SPY,0.5153846153846153,0.054934064834944986,0.02931337500631343,0.004489795697736554
ACSF1,0.6739999999999999,0.03072458299147442,0.25262587899633215,0.18828896270424592
AllGestureWiimoteX,0.7701428571428572,0.03876907035674868,1.500785266389721,1.2200267292064382
AllGestureWiimoteY,0.7707142857142857,0.024304614494253692,1.518101595903863,1.116254474996822
AllGestureWiimoteZ,0.8012857142857144,0.02505056111636819,1.5799057833006371,1.1366604293056297
BME,0.9493333333333333,0.024440403706431142,0.029511420801281926,0.07799673349363728
Chinatown,0.9900874635568513,0.0023323615160349975,0.013584070702199825,0.04988878769800067
Crop,0.9061309523809523,0.00827308150274251,33.393492629195684,49.314880037703546
DodgerLoopDay,0.6849999999999999,0.030516389039334256,0.10479757930152118,0.07908084170485381
DodgerLoopGame,0.9471014492753623,0.013768115942028985,0.031103424893808553,0.02794597510364838
DodgerLoopWeekend,0.9536231884057973,0.009279890199178024,0.02907330419693608,0.02789481650397647
EOGHorizontalSignal,0.7251381215469613,0.0336347946460937,0.6590285667043645,0.6083988625003258
EOGVerticalSignal,0.7361878453038674,0.015928953860042536,0.617638412391534,0.612677008198807
EthanolLevel,0.8674,0.004820788317277584,0.5031774125003722,0.46437442500318865
FreezerRegularTrain,0.9931578947368422,0.0003922926276315582,0.05893647929769941,0.5535070458077825
FreezerSmallTrain,0.9931929824561401,0.0002327455993231954,0.027885229108505882,0.5538324917957652
Fungi,0.5747311827956988,0.025722309062162788,0.09194148750102613,0.39455115409800784
GestureMidAirD1,0.5961538461538461,0.031388008866312565,1.7589454916043905,0.4340507792017888
GestureMidAirD2,0.5046153846153846,0.022870874995874618,1.6354557668004417,0.43350291249807926
GestureMidAirD3,0.35461538461538467,0.029482719841133535,1.6862293373938881,0.43411175430519505
GesturePebbleZ1,0.9552325581395349,0.013770603816659318,0.39709095419966617,0.16852346250379924
GesturePebbleZ2,0.9506329113924051,0.014376983153924753,0.4241977873985888,0.15410617919988
GunPointAgeSpan,0.9816455696202532,0.005444509662685209,0.04892973729874939,0.05429147520044353
GunPointMaleVersusFemale,0.9886075949367088,0.0066681352866156535,0.04093467909260653,0.0561274083040189
GunPointOldVersusYoung,0.9882539682539683,0.0014547859349066106,0.037747604199103085,0.05373731649888214
HouseTwenty,0.9605042016806722,0.0038509039453410283,0.12956210000847931,0.06700030389474705
InsectEPGRegularTrain,0.9461847389558231,0.0019674616407897257,0.06797063740086742,0.15177671239362098
InsectEPGSmallTrain,0.9461847389558231,0.0026639556549039457,0.04683260419988074,0.150550362400827
MelbournePedestrian,0.9328003280032799,0.007487375388625707,1.9376117539970437,3.0768744835047985
MixedShapesRegularTrain,0.9725773195876288,0.0015675528089689253,0.5073524417035514,2.147506749894819
MixedShapesSmallTrain,0.9722474226804124,0.0010918104985463012,0.13807736680028027,2.150333308300469
PLAID,0.8700186219739292,0.015169766744444169,4.452795449999394,0.9424927083047805
PickupGestureWiimoteZ,0.698,0.03627671429443409,0.3052115583966952,0.07269456250360236
PigAirwayPressure,0.08076923076923077,0.014066095036853646,0.8798760542005766,1.259655378892785
PigArtPressure,0.07211538461538461,0.0,0.834205362497596,1.2857937791995937
PigCVP,0.12836538461538463,0.0394728812982808,0.8755037374969106,1.2694650998018915
PowerCons,0.8988888888888888,0.008164965809277266,0.05218841269961558,0.030737795704044404
Rock,0.804,0.014966629547095732,0.14882153339858634,0.06046477909840178
SemgHandGenderCh2,0.9768333333333334,0.009499999999999979,0.24827962079725693,0.2595084665110335
SemgHandMovementCh2,0.892,0.01935248093962423,0.6288057876023231,0.4952189956995426
SemgHandSubjectCh2,0.9139999999999999,0.015040685563571294,0.5498568793962477,0.44272496659541505
ShakeGestureWiimoteZ,0.788,0.03370459909270542,0.3044085956993513,0.07307748339662795
SmoothSubspace,0.914,0.011333333333333334,0.11604958330572117,0.0740789124974981
UMD,0.9215277777777777,0.01390623916284776,0.03203531649778597,0.07746593340416438
