dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
SPY,0.5538461538461539,0.0846153846153846,0.029352791723795235,0.0044573292601853606
AllGestureWiimoteX,0.7887142857142857,0.020804728661866202,1.3113882916979493,1.013039370905608
AllGestureWiimoteY,0.7842857142857143,0.011248582677159738,1.4526855417061597,1.0108467875281348
AllGestureWiimoteZ,0.7948571428571428,0.01751034679547951,1.3487807291559877,1.0131986669264734
BME,0.9466666666666667,0.02309401076758503,0.027657466707751155,0.07594120432622731
Chinatown,0.9889212827988338,0.004664723032069997,0.012162203993648292,0.04873737921006978
Crop,0.9051845238095237,0.004428303403307628,27.548740941565484,46.966994737507775
DodgerLoopDay,0.6950000000000001,0.03881043674065006,0.10344208339229226,0.07844815831631421
DodgerLoopGame,0.9594202898550724,0.013043478260869558,0.030766029120422898,0.027572671091184022
DodgerLoopWeekend,0.955072463768116,0.011594202898550707,0.028714320808649066,0.027569170808419585
EOGHorizontalSignal,0.7027624309392265,0.03399474047053074,0.6783075711457058,0.6065159955760464
EOGVerticalSignal,0.7511049723756906,0.028746541776582733,0.6132319833384827,0.6043319083983079
EthanolLevel,0.8615999999999999,0.00945727233402952,0.4883760499069467,0.4606909417780116
FreezerRegularTrain,0.9930526315789475,0.0005390277717802671,0.06149834159296006,0.5442280625924468
FreezerSmallTrain,0.9932631578947368,0.00026257244819468236,0.02890269183553755,0.551739724772051
GesturePebbleZ1,0.95,0.009446556284460436,0.4057590750511736,0.1851213290123269
GesturePebbleZ2,0.9556962025316457,0.01698279476582119,0.44888154165819283,0.18485457082279028
GunPointAgeSpan,0.9873417721518987,0.0028304657943035087,0.057483049924485385,0.06796430831309408
GunPointMaleVersusFemale,0.9886075949367088,0.002900364363896068,0.05542939174920321,0.06317243743687868
GunPointOldVersusYoung,0.9885714285714287,0.0015552315827194727,0.04415784580633045,0.06562913339585066
HouseTwenty,0.9630252100840335,0.0055741593115216604,0.1433441500645131,0.07150805827695876
InsectEPGRegularTrain,0.9457831325301204,0.0026940578042166227,0.07982535806950182,0.15925989623647183
InsectEPGSmallTrain,0.9453815261044175,0.0019674616407897257,0.04771853343117982,0.15413099178113043
MelbournePedestrian,0.9481344813448134,0.004450952843790087,2.428346325014718,3.083488354319707
MixedShapesRegularTrain,0.9736494845360826,0.0014456534550893263,0.49372145000379536,2.1222234832355755
MixedShapesSmallTrain,0.9724123711340207,0.0011583152086753123,0.1406817792914808,2.1222543250070887
PLAID,0.8759776536312849,0.008377818904433497,4.377718604030088,0.9676008331589401
PowerCons,0.9016666666666667,0.008975274678557516,0.05518482080660761,0.03195193759165704
Rock,0.808,0.018330302779823327,0.15247478319797667,0.06276550004258752
SemgHandGenderCh2,0.9741666666666667,0.006635343079131443,0.2581320792902261,0.28730666243936864
SemgHandMovementCh2,0.9013333333333333,0.02314100630567966,0.6301013375166804,0.5073743041371926
SemgHandSubjectCh2,0.9128888888888887,0.02103025451434841,0.5654765543527901,0.4386597374919802
ShakeGestureWiimoteZ,0.78,0.04195235392680605,0.29220396678429095,0.07204937064088882
SmoothSubspace,0.916,0.016918103387266008,0.11976931272074581,0.07289773738011718
