dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
SPY,0.45769230769230773,0.011538461538461548,0.016905383102130144,0.0011760585010051727
ACSF1,0.9030000000000001,0.006403124237432854,0.13957054160127882,0.043545608400017956
AllGestureWiimoteX,0.7227142857142858,0.010525964011307797,0.41261119590781165,0.08016330409154762
AllGestureWiimoteY,0.7328571428571429,0.005111012519999518,0.40064478350104765,0.07847904150257819
AllGestureWiimoteZ,0.7287142857142856,0.006109544222955184,0.4069631666963687,0.07841575840138831
BME,0.9866666666666667,0.0,0.01817286649893504,0.008255141699919477
Chinatown,0.9816326530612244,0.0018668000692223968,0.009246016497490928,0.00472522949858103
Crop,0.7606845238095238,0.0008961249723037508,33.694508020803916,0.8716341290972195
DodgerLoopDay,0.65125,0.02197299478905868,0.033366550097707656,0.006737837396212853
DodgerLoopGame,0.8731884057971016,0.008101695570651404,0.028118658502353355,0.010668891496607102
DodgerLoopWeekend,0.9782608695652174,0.0,0.027307091595139353,0.010545533502590842
EOGHorizontalSignal,0.5823204419889503,0.012464656544396097,0.18833757070242427,0.10092527919623534
EOGVerticalSignal,0.5406077348066298,0.00980954746108548,0.1886586000036914,0.10431160829321016
EthanolLevel,0.5630000000000001,0.012782800945019797,0.30678295399702615,0.19482301650277806
FreezerRegularTrain,0.9994035087719298,0.00016079212964756364,0.03895616689987946,0.21095004569506273
FreezerSmallTrain,0.9400701754385965,0.000938883379667338,0.025354145804885774,0.19886645829537883
Fungi,0.9618279569892474,0.005072032866697095,0.018328295997343955,0.011008141603088007
GestureMidAirD1,0.7546153846153846,0.008736782070461947,0.15683151260018346,0.012849733399343677
GestureMidAirD2,0.6676923076923077,0.012779421327566286,0.1672319999022875,0.014233233398408629
GestureMidAirD3,0.5338461538461539,0.009850960365281271,0.16657564599590843,0.013517837307881565
GesturePebbleZ1,0.9284883720930232,0.004540842834829458,0.22120103760098572,0.026453312498051672
GesturePebbleZ2,0.8746835443037975,0.014376983153924747,0.2317584792996058,0.020818591702845876
GunPointAgeSpan,0.9917721518987342,0.0029003643638960824,0.030734737502643834,0.02184070410730783
GunPointMaleVersusFemale,1.0,0.0,0.025778491699020377,0.014250045910011977
GunPointOldVersusYoung,1.0,0.0,0.025336753998999484,0.014164962604991161
HouseTwenty,0.953781512605042,0.004201680672268948,0.1387855581997428,0.054032296099467206
InsectEPGRegularTrain,1.0,0.0,0.05152866669814103,0.036065379204228525
InsectEPGSmallTrain,0.9979919678714859,0.0032378545173889746,0.04397721239656675,0.03746680839976762
MelbournePedestrian,0.9579335793357933,0.0017317517082363996,0.2575389497011201,0.03716920439619571
MixedShapesRegularTrain,0.967298969072165,0.0010918104985462758,0.20380941669864117,0.520105100001092
MixedShapesSmallTrain,0.9455670103092784,0.001463772317467928,0.08420596229843795,0.537384616700001
PLAID,0.926443202979516,0.0044263926718825595,2.4971847416018136,0.15756071250070816
PickupGestureWiimoteZ,0.8540000000000001,0.009165151389911688,0.1590159666055115,0.005310129292774946
PigAirwayPressure,0.21634615384615383,0.009121954788947248,0.1468740749056451,0.09327059580245986
PigArtPressure,0.9692307692307691,0.00576923076923075,0.14369809579802678,0.09077030840271619
PigCVP,0.7807692307692308,0.014927091054096174,0.1514517041941872,0.09471653339569457
PowerCons,0.9916666666666666,0.003726779962499636,0.027331287297420202,0.007326945799286477
Rock,0.7939999999999999,0.02199999999999998,0.14341837070533073,0.03553974589740392
SemgHandGenderCh2,0.8885,0.007395569244111269,0.21000723329780158,0.1908107669034507
SemgHandMovementCh2,0.671111111111111,0.013948759845755745,0.28293800430255944,0.1471068832994206
SemgHandSubjectCh2,0.8602222222222222,0.009240276838351916,0.27547187089803626,0.14180467500118538
ShakeGestureWiimoteZ,0.8720000000000001,0.016000000000000014,0.16215942939743402,0.005625116504961625
SmoothSubspace,0.9313333333333335,0.013012814197295408,0.014625158495618962,0.002457328996388242
UMD,0.9868055555555555,0.002083333333333326,0.016727754098246804,0.006791429102304391
