dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
SPY,0.45769230769230773,0.011538461538461548,0.015227570803835987,0.0010026373667642475
AllGestureWiimoteX,0.7218571428571428,0.00903620834335342,0.38115224174689505,0.07388736268039793
AllGestureWiimoteY,0.7350000000000001,0.0064285714285714215,0.3721565125510096,0.07105980410706252
AllGestureWiimoteZ,0.7275714285714285,0.00685267711726372,0.38142284576315433,0.072151841619052
BME,0.986,0.002000000000000013,0.015092166583053769,0.0057362334337085485
Chinatown,0.9810495626822157,0.0014577259475218596,0.008444679249078036,0.004409728944301606
Crop,0.760095238095238,0.0013876071182936666,32.64987255407031,0.6747249833540991
DodgerLoopDay,0.65125,0.018071040368501216,0.032359083322808145,0.0059108373010531064
DodgerLoopGame,0.8681159420289856,0.010144927536231887,0.027097116783261297,0.0104933749884367
DodgerLoopWeekend,0.9782608695652174,0.0,0.026834741863422096,0.010045954096131028
EOGHorizontalSignal,0.5823204419889503,0.01581114698481126,0.18494974977802484,0.09608230839949101
EOGVerticalSignal,0.5320441988950275,0.010127239104874782,0.18426968751009554,0.09838427077047528
EthanolLevel,0.5673999999999999,0.013972830779766833,0.28656171697657556,0.17716705405618993
FreezerRegularTrain,0.9993333333333334,0.00018895315112753776,0.03852924576494843,0.18540144576691092
FreezerSmallTrain,0.9402456140350877,0.0010877192982456148,0.024829145683906973,0.18174503343179824
GesturePebbleZ1,0.9296511627906977,0.003130909771589833,0.18386475818697365,0.019328237511217594
GesturePebbleZ2,0.8772151898734177,0.006454455080497187,0.2083612208487466,0.02021557930856943
GunPointAgeSpan,0.993987341772152,0.0022151898734177333,0.024756158329546453,0.01439702094066888
GunPointMaleVersusFemale,1.0,0.0,0.025678950175642968,0.015127258165739477
GunPointOldVersusYoung,1.0,0.0,0.023722537513822316,0.013077074894681573
HouseTwenty,0.953781512605042,0.005637146161764205,0.13413562504574655,0.05628884583711624
InsectEPGRegularTrain,1.0,0.0,0.05172697906382382,0.03891481249593198
InsectEPGSmallTrain,0.9979919678714859,0.0026940578042166227,0.0426640166901052,0.037183541501872246
MelbournePedestrian,0.9571545715457154,0.001435014350143482,0.2693003917112946,0.0388870334951207
MixedShapesRegularTrain,0.9679175257731959,0.0013272970671695575,0.18932940855156627,0.4686666998546571
MixedShapesSmallTrain,0.9457731958762887,0.0021526405173011485,0.07783829171676189,0.49161767072509976
PLAID,0.9292364990689013,0.005461034748087588,2.1244891917100173,0.14653171673417092
PowerCons,0.9927777777777778,0.0035572912430182364,0.0270757625810802,0.006997983320616186
Rock,0.7780000000000001,0.02271563338320112,0.1405730795348063,0.030733399791643023
SemgHandGenderCh2,0.8831666666666667,0.012051970793193948,0.20935893319547177,0.17653572508133947
SemgHandMovementCh2,0.6784444444444444,0.014300133816174366,0.25882590839173647,0.13123985389247536
SemgHandSubjectCh2,0.8631111111111112,0.009386094258641266,0.2577598751056939,0.13070280402898787
ShakeGestureWiimoteZ,0.866,0.012806248474865708,0.157551337312907,0.004990425263531506
SmoothSubspace,0.9206666666666667,0.014742229591663982,0.014307091501541434,0.002363908407278359
